Date,Production
2000-1,3660
2000-2,3766
2000-3,4076
2000-4,3799
2000-5,4008
2000-7,3979
2000-8,3936
2000-9,3997
2000-10,3838
2000-11,3954
2000-12,3536
2001-1,3976
2001-2,3773
2001-3,4237
2001-4,3883
2001-5,3748
2001-6,3458
2001-7,3549
2001-8,3669
2001-9,3754
2001-10,3899
2001-11,3715
2001-12,3142
2002 - 1 ,3418
2002 - 2 ,3499
2002 - 3,3986
2002 - 4,3746
2002 - 5,3876
2002 - 6,3893
2002 - 7 ,3844
2002 - 8,3769
2002 - 9,3790
2002 - 10,3870
2002 - 11 ,3779
2002 - 12,3547
2003 - 1 ,3813
2003 - 2 ,3618
2003 - 3,4139
2003 - 4,3877
2003 - 5,3921
2003 - 6,3616
2003 - 7 ,3554
2003 - 8,3353
2003 - 9,3618
2003 - 10,3870
2003 - 11 ,3902
2003 - 12,3527
2004 - 1 ,3908
2004 - 2 ,3730
2004 - 3,4046
2004 - 4,3861
2004 - 5,3860
2004 - 6,3892
2004 - 7 ,3890
2004 - 8,3860
2004 - 9,3888
2004 - 10,3854
2004 - 11 ,4002
2004 - 12,3583
2005 - 1 ,3968
2005 - 2 ,3677
2005 - 3,4004
2005 - 4,3908
2005 - 5,3685
2005 - 6,3954
2005 - 7 ,3488
2005 - 8,3318
2005 - 9,3620
2005 - 10,4070
2005 - 11 ,3595
2005 - 12,3536
2006 - 1 ,3437
2006 - 2 ,3700
2006 - 3,4116
2006 - 4,4064
2006 - 5,4019
2006 - 6,3988
2006 - 7 ,4000
2006 - 8,3873
2006 - 9,4016
2006 - 10,4239
2006 - 11 ,3925
2006 - 12,3846
2007 - 1 ,4318
2007 - 2 ,3826
2007 - 3,4175
2007 - 4,4085
2007 - 5,4045
2007 - 6,4099
2007 - 7 ,3993
2007 - 8,3970
2007 - 9,4064
2007 - 10,4199
2007 - 11 ,4027
2007 - 12,3750
2008 - 1 ,4115
2008 - 2 ,3767
2008 - 3,4184
2008 - 4,4011
2008 - 5,4154
2008 - 6,4184
2008 - 7 ,3784
2008 - 8,3985
2008 - 9,4050
2008 - 10,3881
2008 - 11 ,3272
2008 - 12,2446
2009 - 1 ,2663
2009 - 2 ,2545
2009 - 3,2067
2009 - 4,1874
2009 - 5,2171
2009 - 6,2514
2009 - 7 ,2692
2009 - 8,2950
2009 - 9,3179
2009 - 10,3453
2009 - 11 ,3538
2009 - 12,3024
2010 - 1 ,3512
2010 - 2 ,3399
2010 - 3,4022
2010 - 4,3882
2010 - 5,4073
2010 - 6,3857
2010 - 7 ,3472
2010 - 8,3440
2010 - 9,3312
2010 - 10,3845
2010 - 11 ,3840
2010 - 12,3177
2011 - 1 ,3665
2011 - 2 ,3697
2011 - 3,4026
2011 - 4,3813
2011 - 5,4112
2011 - 6,3883
2011 - 7 ,3667
2011 - 8,3622
2011 - 9,3643
2011 - 10,3683
2011 - 11 ,3451
2011 - 12,3025
2012 - 1 ,3367
2012 - 2 ,3578
2012 - 3,3901
2012 - 4,3598
2012 - 5,3708
2012 - 6,3767
2012 - 7 ,3593
2012 - 8,3370
2012 - 9,3561
2012 - 10,3688
2012 - 11 ,3467
2012 - 12,3063
2013 - 1 ,3585
2013 - 2 ,3415
2013 - 3,3814
2013 - 4,3568
2013 - 5,3654
2013 - 6,3536
2013 - 7 ,3397
2013 - 8,3166
2013 - 9,3618
2013 - 10,3765
2013 - 11 ,3668
2013 - 12,3459
2014 - 1 ,3668
2014 - 2 ,3569
2014 - 3,4050
2014 - 4,3713
2014 - 5,3923
2014 - 6,3562
2014 - 7 ,3452
2014 - 8,3101
2014 - 9,3515
2014 - 10,3542
2014 - 11 ,3592
2014 - 12,3257
2015 - 1 ,3679
2015 - 2 ,3512
2015 - 3,3872
2015 - 4,3609
2015 - 5,3709
2015 - 6,3770
2015 - 7 ,3613
2015 - 8,3430
2015 - 9,3377
2015 - 10,3639
2015 - 11 ,3481
2015 - 12,2987
2016 - 1 ,3605
2016 - 2 ,3362
2016 - 3,3810
2016 - 4,3556
2016 - 5,3858
2016 - 6,362.348
2016 - 7 ,3392.949
2016 - 8,3510.865
2016 - 9,3245.663
2016 - 10,3505.825
2016 - 11 ,3334.825
2016 - 12,3230.129
2017 - 1 ,3648.549
2017 - 2 ,3882.013
2017 - 3,3842.387
2017 - 4,3842.387
2017 - 5,3801.08
2017 - 6,3605.139
2017 - 7 ,3513.976
2017 - 8,3628.684
2017 - 9,3510
2017 - 10,3600
2017 - 11 ,3485
2017 - 12,3600
2018 - 1 ,3700
2018 - 2 ,3340
2018 - 3,3900
2018 - 4,3775
2018 - 5,3900
2018 - 6,3770
2018 - 7 ,3900
2018 - 8,3900
2018 - 9,3775
2018 - 10,3600
2018 - 11 ,3450
2018 - 12,3230
2019 - 1 ,3454.845
2019 - 2 ,3318.987
2019 - 3,3666.86
2019 - 4,3358.309
2019 - 5,3512.904
2019 - 6,3405.482
2019 - 7 ,3216.6
2019 - 8,3266.163
2019 - 9,3351.45
2019 - 10,3322.93
2019 - 11 ,2948.986
2019 - 12,2843.191
2020 - 1 ,3117.481
2020 - 2 ,3455.719
2020 - 3,2900
2020 - 4,2557
2020 - 5,2850
