Date,Production
2000 - 1 ,2203
2000 - 2 ,2185
2000 - 3,2314
2000 - 4,2198
2000 - 5,2175
2000 - 6,2134
2000 - 7 ,2222
2000 - 8,2333
2000 - 9,2305
2000 - 10,2311
2000 - 11 ,2287
2000 - 12,2257
2001 - 1 ,2355
2001 - 2 ,2186
2001 - 3,2335
2001 - 4,2250
2001 - 5,2197
2001 - 6,2139
2001 - 7 ,2301
2001 - 8,2308
2001 - 9,2269
2001 - 10,2331
2001 - 11 ,2276
2001 - 12,2344
2002 - 1 ,2472
2002 - 2 ,2222
2002 - 3,2441
2002 - 4,2270
2002 - 5,2289
2002 - 6,2315
2002 - 7 ,2359
2002 - 8,2487
2002 - 9,2408
2002 - 10,2501
2002 - 11 ,2464
2002 - 12,2586
2003 - 1 ,2601
2003 - 2 ,2478
2003 - 3,2689
2003 - 4,2547
2003 - 5,2643
2003 - 6,2590
2003 - 7 ,2691
2003 - 8,2624
2003 - 9,2650
2003 - 10,2708
2003 - 11 ,2698
2003 - 12,2860
2004 - 1 ,2862
2004 - 2 ,2711
2004 - 3,2674
2004 - 4,2427
2004 - 5,2610
2004 - 6,2615
2004 - 7 ,2695
2004 - 8,2593
2004 - 9,2782
2004 - 10,2780
2004 - 11 ,2876
2004 - 12,3001
2005 - 1 ,3829
2005 - 2 ,3619
2005 - 3,3982
2005 - 4,3740
2005 - 5,3744
2005 - 6,3657
2005 - 7 ,3829
2005 - 8,3884
2005 - 9,3724
2005 - 10,3970
2005 - 11 ,3839
2005 - 12,3963
2006 - 1 ,4057
2006 - 2 ,3934
2006 - 3,4219
2006 - 4,4049
2006 - 5,4104
2006 - 6,4073
2006 - 7 ,4148
2006 - 8,4075
2006 - 9,4021
2006 - 10,4258
2006 - 11 ,4236
2006 - 12,4376
2007 - 1 ,4349
2007 - 2 ,4244
2007 - 3,4810
2007 - 4,4317
2007 - 5,4444
2007 - 6,4315
2007 - 7 ,4175
2007 - 8,4443
2007 - 9,4439
2007 - 10,4754
2007 - 11 ,4501
2007 - 12,4677
2008 - 1 ,4475
2008 - 2 ,4489
2008 - 3,4828
2008 - 4,4980
2008 - 5,5075
2008 - 6,4786
2008 - 7 ,5028
2008 - 8,5048
2008 - 9,4922
2008 - 10,4822
2008 - 11 ,4573
2008 - 12,4765
2009 - 1 ,4720
2009 - 2 ,4652
2009 - 3,5066
2009 - 4,5140
2009 - 5,5262
2009 - 6,5431
2009 - 7 ,5979
2009 - 8,5378
2009 - 9,5353
2009 - 10,5447
2009 - 11 ,5371
2009 - 12,5728
2010 - 1 ,5691
2010 - 2 ,5213
2010 - 3,5845
2010 - 4,5831
2010 - 5,5860
2010 - 6,5554
2010 - 7 ,5794
2010 - 8,5737
2010 - 9,5654
2010 - 10,5887
2010 - 11 ,5512
2010 - 12,5743
2011 - 1 ,6145
2011 - 2 ,5734
2011 - 3,6125
2011 - 4,5731
2011 - 5,5942
2011 - 6,5960
2011 - 7 ,6160
2011 - 8,6160
2011 - 9,5650
2011 - 10,6150
2011 - 11 ,6000
2011 - 12,6150
2012 - 1 ,6598
2012 - 2 ,6229
2012 - 3,6441
2012 - 4,6394
2012 - 5,6633
2012 - 6,6392
2012 - 7 ,6386
2012 - 8,6582
2012 - 9,6248
2012 - 10,6653
2012 - 11 ,6403
2012 - 12,6602
2013 - 1 ,6955
2013 - 2 ,6486
2013 - 3,6980
2013 - 4,6712
2013 - 5,7142
2013 - 6,6785
2013 - 7 ,6864
2013 - 8,6678
2013 - 9,6677
2013 - 10,6523
2013 - 11 ,6575
2013 - 12,6922
2014 - 1 ,7047
2014 - 2 ,6541
2014 - 3,7228
2014 - 4,7280
2014 - 5,7383
2014 - 6,7201
2014 - 7 ,7368
2014 - 8,7351
2014 - 9,7260
2014 - 10,7185
2014 - 11 ,7221
2014 - 12,7465
2015 - 1 ,7506
2015 - 2 ,7201
2015 - 3,7707
2015 - 4,7514
2015 - 5,7708
2015 - 6,7514
2015 - 7 ,7668
2015 - 8,7464
2015 - 9,7277
2015 - 10,7383
2015 - 11 ,7263
2015 - 12,7286
2016 - 1 ,7418
2016 - 2 ,6940
2016 - 3,8059
2016 - 4,7800
2016 - 5,8044
2016 - 6,7785
2016 - 7 ,8082
2016 - 8,8141
2016 - 9,7880
2016 - 10,8264
2016 - 11 ,8010
2016 - 12,8397
2017 - 1 ,8400
2017 - 2 ,8113
2017 - 3,9000
2017 - 4,8065
2017 - 5,8500
2017 - 6,7950
2017 - 7 ,8362
2017 - 8,8474
2017 - 9,8200
2017 - 10,8629
2017 - 11 ,8350
2017 - 12,8796
2018 - 1 ,9028
2018 - 2 ,8434
2018 - 3,9227
2018 - 4,8692
2018 - 5,8822
2018 - 6,8739
2018 - 7 ,9000
2018 - 8,8839
2018 - 9,8520
2018 - 10,8770
2018 - 11 ,8490
2018 - 12,9010
2019 - 1 ,9591
2019 - 2 ,9421
2019 - 3,10042
2019 - 4,9021
2019 - 5,9468
2019 - 6,9388
2019 - 7 ,9485
2019 - 8,8868
2019 - 9,8772
2019 - 10,8980
2019 - 11 ,8928
2019 - 12,9281
2020 - 1 ,9295
2020 - 2 ,9560
2020 - 3,8650
2020 - 4,3244
2020 - 5,5767
